OffenderID,AGE,BOOKER2,BOOKER3,BOOKERCD,CIRCDIST,CITIZEN,CITWHERE,CRIMHIST,CRIMLIV,DISTRICT,YearBorn,DRUGMIN,DSPLEA,ENCRYPT1,ENCRYPT2,FIREMIN1,FIREMIN2,GUNMIN1,GUNMIN2,GUNMIN3,IDMIN,IMMIMIN,Education,Race,nDrugs,nDependents,Offense,POOFFICE,PORNMIN,REAS1,REAS2,SAFE,SentenceMonths,SentenceType,SENTTOT0,SENTYR,SEXADJB,SEXCAP,SEXMIN,STATMAX,STATMIN,TERORHI,MinTimeServed,TOTDAYS,CrimHistCat,FinalOffLevel,MaxGuideRange,MinGuideRange,AgeRange
2219626,41,0,0,0,8,5,51,0,-999,7,1973,0,5,0,0,0,0,0,0,0,0,0,3,2,-999,2,Pornography/Prostitution,1,0,-999,-999,-999,2,1,2,2014,-999,0,0,120,0,0,2,0,1,6,6,0,6
2219628,33,0,0,0,8,1,211,1,-999,7,1981,120,1,0,0,0,0,0,0,0,0,0,1,2,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,-999,-999,0,120,1,120,2014,-999,0,0,9996,120,0,104.53,0,4,27,125,100,4
2219659,33,2,3,7,8,2,202,1,-999,7,1981,0,1,0,0,0,0,0,0,0,0,0,1,1,-999,3,Embezzlement,1,0,731,1,-999,6,1,6,2014,-999,0,0,60,0,0,6,0,1,23,57,46,4
2219664,68,3,5,10,8,1,211,0,-999,7,1946,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,1,Embezzlement,1,0,1,2,-999,-999,4,0,2014,-999,0,0,36,0,0,0,0,1,15,24,18,7
2219990,22,3,5,10,8,2,54,1,-999,7,1992,0,1,0,0,0,0,0,0,0,0,0,3,3,-999,1,Bribery,1,0,1,1209,-999,12,1,12,2014,-999,0,0,240,0,0,12,0,1,14,21,15,2
2220030,23,3,5,10,8,1,211,0,-999,7,1991,0,5,0,0,0,0,0,0,0,0,0,5,3,-999,0,"Traffic Violations (Misc Property Crimes, Violent)",1,0,1,-999,-999,6,3,0,2014,-999,0,0,120,0,0,0,0,1,12,16,10,2
2220150,50,2,3,7,8,1,211,0,-999,7,1964,0,1,0,0,0,0,0,0,0,0,0,5,1,-999,1,Gambling/Lottery,1,0,703,731,-999,-999,4,0,2014,-999,0,0,240,0,0,0,0,1,13,18,12,6
2220153,82,0,0,0,8,1,211,1,-999,7,1932,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,0,Embezzlement,1,0,-999,-999,-999,57,1,57,2014,-999,0,0,240,0,0,49.65,0,2,22,57,46,7
2220196,43,3,5,10,8,1,211,0,-999,7,1971,0,8,0,0,0,0,0,0,0,0,0,5,1,-999,0,Embezzlement,1,0,1,-999,-999,120,1,120,2014,-999,0,0,540,0,0,104.53,0,1,33,168,135,6
2220244,53,2,3,5,8,1,211,0,-999,7,1961,120,1,0,0,0,0,0,0,0,0,0,5,1,1,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,19,1200,0,0.43,1,0.43,2014,-999,0,0,9996,120,0,0.43,0,1,29,108,87,7
2220257,59,3,5,10,8,1,211,0,-999,7,1955,0,1,0,0,0,0,0,0,0,0,0,6,1,-999,0,Racketeering /Extortion,1,0,679,-999,-999,12.03,1,12.03,2014,-999,0,0,240,0,0,10.48,1,1,22,51,41,7
2220360,46,3,4,8,8,1,211,0,-999,7,1967,60,1,0,0,0,0,0,0,0,0,0,1,3,1,9,"Drugs - Trafficking, Manufacturing, and Importing",1,0,679,685,0,60,1,60,2014,-999,0,0,480,60,0,52.27,0,1,32,151,121,6
2220465,37,2,3,5,8,3,30,1,-999,7,1977,0,1,0,0,0,0,84,0,0,0,0,5,3,-999,4,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,19,-999,-999,106,1,106,2014,-999,0,0,9996,84,0,92.34,0,6,30,210,168,5
2220469,40,3,5,10,8,1,211,1,-999,7,1974,0,1,0,0,0,0,0,0,0,0,0,1,3,1,2,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,0,60,1,60,2014,-999,0,0,240,0,0,52.27,0,6,29,188,151,5
2220687,27,3,5,10,8,1,211,1,-999,7,1987,0,1,0,0,0,0,84,0,0,0,0,1,2,-999,0,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,1,2,-999,96,1,96,2014,-999,0,0,9996,84,0,83.63,0,1,17,30,24,3
2220695,36,3,5,10,8,1,211,0,-999,7,1978,0,1,0,0,0,0,0,0,0,0,0,5,2,2,3,"Drugs - Trafficking, Manufacturing, and Importing",1,0,1,2,0,-999,1,0,2014,-999,0,0,240,0,0,0,0,1,21,46,37,5
2220724,44,0,0,0,8,1,211,1,-999,7,1970,0,1,0,0,0,0,0,0,0,0,0,3,1,-999,1,Food and Drug,1,0,19,-999,-999,-999,4,0,2014,-999,0,0,36,0,0,0,0,1,4,6,0,6
2220928,44,3,5,10,8,1,211,1,-999,7,1970,120,1,0,0,0,0,0,0,0,0,0,1,2,1,0,"Drugs - Trafficking, Manufacturing, and Importing",1,0,504,-999,0,120,1,120,2014,-999,0,0,9996,120,0,104.53,0,1,33,168,135,6
2220977,28,3,5,10,8,2,178,1,-999,7,1986,0,5,0,0,0,0,120,0,0,0,0,1,2,-999,0,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,654,-999,-999,144,1,144,2014,-999,0,0,9996,120,0,125.44,0,4,18,51,41,3
2221113,26,2,3,6,8,3,31,1,-999,7,1988,0,1,0,0,0,0,0,0,0,0,0,1,3,-999,0,Pornography/Prostitution,1,0,48,1,-999,12.03,1,12.03,2014,-999,0,0,120,0,0,10.48,1,2,21,51,41,3
2221209,31,3,5,10,8,1,211,1,-999,7,1983,0,8,0,0,0,0,0,0,0,0,0,3,1,-999,2,Embezzlement,1,0,1,17,-999,6,3,0,2014,-999,0,0,60,0,0,0,0,1,22,51,41,4
2221288,37,2,3,7,8,1,211,1,-999,7,1977,0,1,0,0,0,0,0,0,0,0,0,1,3,-999,1,"Firearms (Includes Firearms Use, Possession, and Trafficking)",1,0,731,679,-999,444,1,444,2014,-999,0,0,9996,0,0,386.78,0,6,43,9996,9996,5
2221336,46,0,0,0,8,1,211,1,-999,7,1968,0,1,0,0,0,0,0,0,0,0,0,5,2,1,2,"Drugs - Trafficking, Manufacturing, and Importing",1,0,-999,-999,1,18,1,18,2014,-999,0,0,60,0,0,15.68,0,1,13,18,12,6
2221685,25,2,3,5,8,1,211,1,-999,7,1989,0,1,0,0,0,0,0,0,0,24,0,1,3,-999,2,Embezzlement,1,0,19,-999,-999,-999,4,0,2014,-999,0,0,144,24,0,0,0,3,8,12,6,2
2221792,37,0,0,0,8,2,45,1,-999,7,1977,0,5,0,0,0,0,0,0,0,0,0,3,2,-999,7,Pornography/Prostitution,1,0,-999,-999,-999,18,1,18,2014,-999,0,0,180,0,0,15.68,0,1,15,24,18,5
2221822,36,3,5,10,8,1,211,1,-999,7,1977,0,5,0,0,0,0,0,0,0,0,0,5,1,-999,0,Missing,1,180,1,-999,-999,300,1,300,2014,-999,0,0,2160,180,0,261.34,0,1,41,405,324,5
